,County,Total Owner-Occupied Units,Mort=Y,Mort=N,Mort/Income <10%,Mort/Income 10-14.9%,Mort/Income 15-19.9%,Mort/Income 20-24.9%,Mort/Income 25-29.9%,Mort/Income 30-34.9%,Mort/Income 35-39.9%,Mort/Income 40-49.9%,Mort/Income >=50%,GEO_ID
174,"Gwinnett County, Georgia",217000,152272,13619,28796,32570,21294,14411,8301,6297,7304,19127,553,0500000US13135
175,"Hall County, Georgia",51922,32316,3512,5527,6686,5052,3569,1476,2089,1657,2701,47,0500000US13139
176,"Henry County, Georgia",65092,49636,4394,8567,9762,8687,5137,3093,1369,2686,5783,158,0500000US13151
177,"Houston County, Georgia",39749,25652,1900,7248,3927,3813,2292,1500,1356,1723,1893,0,0500000US13153
178,"Jackson County, Georgia",23489,16876,916,3033,4500,2528,1397,485,399,1251,2367,0,0500000US13157
179,"Liberty County, Georgia",12051,8111,848,1676,1646,1135,284,413,361,393,1355,0,0500000US13179
180,"Lowndes County, Georgia",25762,16322,1330,2421,3062,3433,1441,997,753,520,1847,518,0500000US13185
181,"Muscogee County, Georgia",40219,24488,2374,4786,4643,3172,1923,2057,1208,840,3408,77,0500000US13215
182,"Newton County, Georgia",30507,21325,1013,3974,4488,2879,3078,1239,908,630,2979,137,0500000US13217
183,"Paulding County, Georgia",47790,35502,1949,7859,9062,5706,3046,3167,1216,1274,2095,128,0500000US13223
184,"Richmond County, Georgia",42212,24667,3088,3713,4689,3639,2055,1853,1402,1121,2853,254,0500000US13245
185,"Rockdale County, Georgia",24601,17779,1991,1678,2145,4231,2431,1809,1142,622,1477,253,0500000US13247
186,"Spalding County, Georgia",16931,10515,1528,1404,2565,612,765,635,698,510,1548,250,0500000US13255
187,"Troup County, Georgia",16679,10638,1677,2316,1429,2408,786,379,382,529,671,61,0500000US13285
188,"Walker County, Georgia",19216,9752,1161,2676,2336,1045,610,518,519,271,529,87,0500000US13295
189,"Walton County, Georgia",28734,18685,2522,4646,2575,4060,908,706,479,1209,1389,191,0500000US13297
190,"Whitfield County, Georgia",22479,12211,1044,3065,3010,1499,905,330,516,746,1096,0,0500000US13313
191,"Hawaii County, Hawaii",55193,29731,1999,3861,5387,3956,2840,2070,1084,1846,6215,473,0500000US15001
192,"Honolulu County, Hawaii",201897,132838,9749,15067,18664,17195,15656,12782,8907,11910,21272,1636,0500000US15003
193,"Kauai County, Hawaii",15612,9607,1120,967,1746,890,525,707,295,904,2453,0,0500000US15007
194,"Maui County, Hawaii",36985,22208,1681,3184,2870,2375,2053,1082,1119,2680,4991,173,0500000US15009
195,"Ada County, Idaho",144331,99035,12378,18675,20219,15356,8685,5983,4629,4202,8604,304,0500000US16001
196,"Bannock County, Idaho",23867,14699,1755,3192,2867,2430,906,650,391,693,1757,58,0500000US16005
197,"Bonneville County, Idaho",31764,21060,2508,5097,3435,2480,1855,1072,798,1353,2372,90,0500000US16019
198,"Canyon County, Idaho",65768,43970,2706,7278,7675,7288,5478,2640,3072,2848,4650,335,0500000US16027
199,"Kootenai County, Idaho",50563,33141,2637,6862,6948,4434,2487,2212,1091,1804,4365,301,0500000US16055
200,"Twin Falls County, Idaho",24380,15924,1534,2818,3858,2187,1368,1018,799,610,1619,113,0500000US16083
201,"Champaign County, Illinois",45432,27786,2763,5394,6344,3945,2699,1077,1447,670,3256,191,0500000US17019
202,"Cook County, Illinois",1211068,764125,57298,125352,142891,111755,78334,53246,40142,42871,108053,4183,0500000US17031
203,"DeKalb County, Illinois",25086,15476,980,2806,2866,2831,1903,865,1154,927,1047,97,0500000US17037
204,"DuPage County, Illinois",263056,166941,14549,30189,33983,28755,17068,10392,6435,7514,17676,380,0500000US17043
205,"Kane County, Illinois",138895,91062,7328,15158,18755,15661,10803,6013,3470,5123,8661,90,0500000US17089
