,County,Total Owner-Occupied Units,Mort=Y,Mort=N,Mort/Income <10%,Mort/Income 10-14.9%,Mort/Income 15-19.9%,Mort/Income 20-24.9%,Mort/Income 25-29.9%,Mort/Income 30-34.9%,Mort/Income 35-39.9%,Mort/Income 40-49.9%,Mort/Income >=50%,GEO_ID
736,"Taylor County, Texas",31198,16093,1364,2168,3422,3328,1903,840,898,1026,1112,32,0500000US48441
737,"Tom Green County, Texas",30650,16598,1728,3123,2761,1349,2043,2341,606,1198,1449,0,0500000US48451
738,"Travis County, Texas",309061,207135,16612,39502,39398,33466,23131,12682,8351,9587,23279,1127,0500000US48453
739,"Victoria County, Texas",21524,8110,325,1791,1505,1348,800,656,518,923,244,0,0500000US48469
740,"Walker County, Texas",14657,6788,453,983,1992,859,840,822,52,203,584,0,0500000US48471
741,"Webb County, Texas",52527,26441,1650,5079,4051,5816,1589,2504,709,1825,3218,0,0500000US48479
742,"Wichita County, Texas",29716,15495,1519,2619,3253,3092,1123,1240,545,716,1151,237,0500000US48485
743,"Williamson County, Texas",171353,123047,9199,21228,26627,20638,14726,8092,5686,5953,10355,543,0500000US48491
744,"Wise County, Texas",21211,12207,2017,2466,1704,1363,1358,1156,656,240,1185,62,0500000US48497
745,"Cache County, Utah",29476,18734,1559,3293,4024,3610,1610,1254,631,1412,1341,0,0500000US49005
746,"Davis County, Utah",90234,64449,6512,12180,14063,11831,5872,3368,2595,2727,5095,206,0500000US49011
747,"Salt Lake County, Utah",284740,200385,20075,38838,42653,31827,19816,11851,9020,9734,16211,360,0500000US49035
748,"Tooele County, Utah",18426,14214,1629,2721,3446,2504,1638,629,454,533,660,0,0500000US49045
749,"Utah County, Utah",140284,101049,7508,19599,22935,17137,11474,7285,4250,4392,6201,268,0500000US49049
750,"Washington County, Utah",54694,32754,3052,5478,4769,5195,4192,2766,1832,1534,3792,144,0500000US49053
751,"Weber County, Utah",69999,49644,3158,9067,11620,7613,5582,3465,1601,2258,5272,8,0500000US49057
752,"Chittenden County, Vermont",47017,32184,1163,5078,7978,5804,3995,1706,1250,889,4321,0,0500000US50007
753,"Albemarle County, Virginia",27692,16865,2291,2771,4444,2746,1046,1080,226,697,1494,70,0500000US51003
754,"Arlington County, Virginia",46000,34229,3357,6617,6092,6436,3690,2736,1248,1097,2827,129,0500000US51013
755,"Augusta County, Virginia",24035,13452,965,2382,3347,2528,1251,419,795,536,1229,0,0500000US51015
756,"Bedford County, Virginia",28511,16524,1857,3821,3742,3002,1111,877,374,676,1017,47,0500000US51019
757,"Chesterfield County, Virginia",110603,81081,8641,16506,18223,9992,10235,5092,2917,3881,5248,346,0500000US51041
758,"Fairfax County, Virginia",282620,203504,17520,38429,47865,33700,18335,12413,7612,8253,18603,774,0500000US51059
759,"Fauquier County, Virginia",22076,15838,1730,3309,3834,2438,683,1124,980,453,1287,0,0500000US51061
760,"Frederick County, Virginia",29875,20474,2920,4400,4373,3049,1291,1405,1041,634,1361,0,0500000US51069
761,"Hanover County, Virginia",36685,23948,2429,5563,6310,3466,1994,849,1248,857,1192,40,0500000US51085
762,"Henrico County, Virginia",88148,63154,7909,12091,12579,11272,5667,3938,1941,3448,4074,235,0500000US51087
763,"James City County, Virginia",25118,15442,1447,3331,2386,2282,1884,664,942,917,1589,0,0500000US51095
764,"Loudoun County, Virginia",112692,91718,9127,19476,21477,14222,8577,6297,3915,2599,5985,43,0500000US51107
765,"Montgomery County, Virginia",20762,10831,1184,2152,2671,1575,792,480,281,604,1092,0,0500000US51121
766,"Prince William County, Virginia",115220,91207,6748,17925,20431,14583,8029,7425,3284,4884,7686,212,0500000US51153
767,"Roanoke County, Virginia",32123,17313,1925,4341,3091,2219,1219,1550,287,950,1467,264,0500000US51161
768,"Rockingham County, Virginia",24766,15424,1883,2593,3011,3031,1923,745,556,662,1020,0,0500000US51165
769,"Spotsylvania County, Virginia",41012,29816,2593,6151,6002,3538,2881,2992,1631,357,3526,145,0500000US51177
770,"Stafford County, Virginia",43976,34699,2936,5610,7670,6130,4678,1211,2957,1136,2289,82,0500000US51179
771,"York County, Virginia",20959,15480,1724,3526,2907,2585,2635,897,248,402,495,61,0500000US51199
772,"Alexandria city, Virginia",30502,23478,2501,3936,4772,4055,2210,1745,805,1644,1757,53,0500000US51510
773,"Chesapeake city, Virginia",69722,52383,3298,8090,9137,8458,6777,3268,2925,3298,6465,667,0500000US51550
774,"Hampton city, Virginia",33812,24060,1222,3805,3897,4068,2296,2452,1230,1374,3621,95,0500000US51650
775,"Lynchburg city, Virginia",13760,8295,1341,1229,1761,1445,580,235,526,501,644,33,0500000US51680
776,"Newport News city, Virginia",37573,26306,2970,3118,5103,5007,3203,1338,523,1925,3075,44,0500000US51700
777,"Norfolk city, Virginia",45153,31601,2336,4781,6404,4921,3104,1513,1885,1783,4586,288,0500000US51710
778,"Portsmouth city, Virginia",23687,17090,857,1362,2784,1824,2570,2113,1361,1012,3207,0,0500000US51740
779,"Richmond city, Virginia",46019,32582,2974,6652,5797,4013,3697,1978,1739,1369,4019,344,0500000US51760
780,"Roanoke city, Virginia",22465,14270,1818,2176,2721,2236,1406,1088,619,842,1364,0,0500000US51770
781,"Suffolk city, Virginia",29071,21748,1547,4124,3534,3145,2603,1326,847,2065,2482,75,0500000US51800
782,"Virginia Beach city, Virginia",114026,84143,6184,12374,15860,14239,8879,6016,4453,4891,10927,320,0500000US51810
783,"Benton County, Washington",54112,33590,2822,5919,7387,5128,3435,2790,2394,1334,2191,190,0500000US53005
784,"Chelan County, Washington",20870,11788,1144,2445,3229,1506,1184,524,138,541,1077,0,0500000US53007
785,"Clallam County, Washington",26860,13187,436,1439,2396,2560,1421,457,1107,846,2252,273,0500000US53009
786,"Clark County, Washington",135103,92138,6683,15324,18323,14244,9696,10084,4018,4434,9190,142,0500000US53011
787,"Cowlitz County, Washington",31407,20461,1229,3395,3315,3034,2624,2277,624,1694,2104,165,0500000US53015
788,"Franklin County, Washington",22133,14300,1312,2389,3263,1867,891,1748,719,796,1315,0,0500000US53021
789,"Grant County, Washington",24807,12827,1311,2366,2327,1931,1363,965,639,325,1600,0,0500000US53025
790,"Grays Harbor County, Washington",23738,12654,600,2519,1511,2687,1087,560,1000,1206,1457,27,0500000US53027
791,"Island County, Washington",27444,17937,976,1402,3537,2622,2086,1043,425,1742,4021,83,0500000US53029
792,"King County, Washington",525673,365382,32722,62063,68852,60072,40372,26141,15261,19362,38917,1620,0500000US53033
793,"Kitsap County, Washington",76570,52508,3022,8222,9595,10303,6401,4434,2812,2507,4595,617,0500000US53035
794,"Lewis County, Washington",24788,14519,1294,2514,2606,1763,1372,1424,823,1071,1652,0,0500000US53041
795,"Mason County, Washington",22362,14233,1069,3029,2258,1993,1549,857,1012,768,1698,0,0500000US53045
796,"Pierce County, Washington",224920,157514,9618,24655,31111,25694,20340,11373,7524,7770,19033,396,0500000US53053
797,"Skagit County, Washington",36894,22430,991,4014,3944,3647,2291,1936,1121,1146,3322,18,0500000US53057
798,"Snohomish County, Washington",213375,153503,9304,20632,29941,25663,19835,12843,7979,10660,16152,494,0500000US53061
799,"Spokane County, Washington",141970,90359,8752,13426,17540,15977,9289,6927,4925,4268,9205,50,0500000US53063
800,"Thurston County, Washington",79008,52648,2952,7582,10234,9195,6231,4291,2300,3789,5990,84,0500000US53067
801,"Whatcom County, Washington",61869,39952,2205,4348,6975,5831,5972,3597,2185,2138,6529,172,0500000US53073
802,"Yakima County, Washington",55180,30790,2893,5477,6138,4384,2986,3096,1834,671,3263,48,0500000US53077
803,"Berkeley County, West Virginia",41150,28504,2522,6175,6073,3214,2898,1833,1216,1299,3059,215,0500000US54003
804,"Cabell County, West Virginia",25833,14179,2183,3772,3020,1846,644,662,531,545,976,0,0500000US54011
805,"Harrison County, West Virginia",19505,8296,1333,3082,1908,621,467,269,88,136,371,21,0500000US54033
806,"Kanawha County, West Virginia",51745,25515,3266,6436,7166,2844,1545,1158,720,722,1609,49,0500000US54039
807,"Monongalia County, West Virginia",25891,15746,1944,5354,2723,1685,617,787,331,469,1499,337,0500000US54061
808,"Raleigh County, West Virginia",20398,9988,909,2755,2313,2117,421,49,357,255,812,0,0500000US54081
809,"Wood County, West Virginia",27775,14091,2933,3557,2790,1582,952,189,874,553,547,114,0500000US54107
810,"Brown County, Wisconsin",73042,45976,3797,10447,11267,7277,3758,2126,1378,1999,3778,149,0500000US55009
811,"Chippewa County, Wisconsin",20550,11715,518,2990,3307,1236,1212,872,202,421,947,10,0500000US55017
812,"Dane County, Wisconsin",144687,96660,8409,16669,21636,16803,9571,7424,5204,4186,6425,333,0500000US55025
813,"Dodge County, Wisconsin",26016,15860,825,2972,3511,3021,1646,1242,682,383,1555,23,0500000US55027
814,"Eau Claire County, Wisconsin",28471,17278,1285,3450,3727,2907,1966,1123,980,790,896,154,0500000US55035
815,"Fond du Lac County, Wisconsin",29781,17285,1729,3629,4456,2433,1455,864,730,864,1125,0,0500000US55039
816,"Jefferson County, Wisconsin",26342,16594,840,2880,3907,2793,1950,1206,717,1053,1240,8,0500000US55055
817,"Kenosha County, Wisconsin",47087,31067,2935,5673,6824,5790,1897,1406,871,1943,3448,280,0500000US55059
818,"La Crosse County, Wisconsin",31324,18457,1079,4034,4011,2889,2457,1651,878,593,865,0,0500000US55063
819,"Manitowoc County, Wisconsin",26598,15312,1688,3109,3926,1776,1262,915,672,319,1571,74,0500000US55071
820,"Marathon County, Wisconsin",42753,23914,3208,4923,5356,3348,2725,1298,571,722,1669,94,0500000US55073
821,"Milwaukee County, Wisconsin",190955,122174,9749,20810,27062,20086,11329,7548,6805,5975,11895,915,0500000US55079
822,"Outagamie County, Wisconsin",56205,35586,3365,7028,7180,6917,3045,2376,1323,1694,2415,243,0500000US55087
823,"Ozaukee County, Wisconsin",26525,16466,1451,3474,3663,2732,2005,862,502,574,1139,64,0500000US55089
824,"Portage County, Wisconsin",20014,10874,1249,2657,2424,1748,713,546,367,361,804,5,0500000US55097
825,"Racine County, Wisconsin",56627,37233,2803,6642,7690,6113,3551,2536,1775,1927,4097,99,0500000US55101
826,"Rock County, Wisconsin",47355,29272,1987,5444,6565,5945,2224,1865,1710,1579,1916,37,0500000US55105
827,"St. Croix County, Wisconsin",29914,20830,1897,3937,4842,3647,1979,1396,583,616,1923,10,0500000US55109
828,"Sauk County, Wisconsin",21285,12852,940,2506,2840,2520,1102,857,459,500,1128,0,0500000US55111
829,"Sheboygan County, Wisconsin",36214,21142,2150,4473,5152,2714,1768,1354,1003,1403,1112,13,0500000US55117
830,"Walworth County, Wisconsin",30410,19487,1409,4459,3481,2905,2548,1194,795,596,2012,88,0500000US55127
831,"Washington County, Wisconsin",44764,28434,2755,6508,5597,4112,2616,1758,743,1405,2834,106,0500000US55131
832,"Waukesha County, Wisconsin",130884,85317,8066,16618,21352,14330,7868,4426,2637,3628,5783,609,0500000US55133
833,"Winnebago County, Wisconsin",46609,27685,2589,6771,5964,5027,2159,1592,907,1044,1591,41,0500000US55139
834,"Wood County, Wisconsin",24369,13895,1444,3782,3400,1547,1073,426,174,547,1390,112,0500000US55141
835,"Laramie County, Wyoming",30778,21195,1246,2772,4522,3658,3005,1548,1033,734,2677,0,0500000US56021
836,"Natrona County, Wyoming",25079,15365,1621,2315,3209,2685,1173,989,1431,446,1496,0,0500000US56025
837,"Arecibo Municipio, Puerto Rico",21299,6611,622,1632,561,957,511,308,381,904,685,50,0500000US72013
