,County,Total Population,Est. Pop Below Poverty Level,2022 Poverty Rate,GEO_ID
213,"Madison County, Illinois",258519,31545,12.202197904215938,0500000US17119
214,"Peoria County, Illinois",173514,22329,12.868702237283447,0500000US17143
215,"Rock Island County, Illinois",136758,20795,15.20569180596382,0500000US17161
216,"St. Clair County, Illinois",247789,39118,15.78681862390986,0500000US17163
217,"Sangamon County, Illinois",190411,21096,11.079191853411832,0500000US17167
218,"Tazewell County, Illinois",125762,10825,8.607528506226046,0500000US17179
219,"Vermilion County, Illinois",69273,11640,16.80308345242735,0500000US17183
220,"Will County, Illinois",688762,47823,6.943327303190363,0500000US17197
221,"Williamson County, Illinois",64336,7378,11.467918428251679,0500000US17199
222,"Winnebago County, Illinois",278298,43533,15.642584567621759,0500000US17201
223,"Allen County, Indiana",385067,42872,11.133646871843082,0500000US18003
224,"Bartholomew County, Indiana",82632,13160,15.926033497918482,0500000US18005
225,"Boone County, Indiana",72934,2932,4.020072942660487,0500000US18011
226,"Clark County, Indiana",122780,10903,8.880110767225933,0500000US18019
227,"Delaware County, Indiana",103840,19540,18.817411402157163,0500000US18035
228,"Elkhart County, Indiana",203933,30381,14.897539878293362,0500000US18039
229,"Floyd County, Indiana",79234,7623,9.62086982860893,0500000US18043
230,"Grant County, Indiana",60255,12208,20.260559289685503,0500000US18053
231,"Hamilton County, Indiana",362371,16846,4.648826754900365,0500000US18057
232,"Hancock County, Indiana",82046,3341,4.072105891816786,0500000US18059
233,"Hendricks County, Indiana",175858,9140,5.197375154954566,0500000US18063
234,"Howard County, Indiana",82472,13703,16.61533611407508,0500000US18067
235,"Johnson County, Indiana",162748,11254,6.914985130385627,0500000US18081
236,"Kosciusko County, Indiana",79324,10030,12.644344712823358,0500000US18085
237,"Lake County, Indiana",492768,70810,14.369845444509382,0500000US18089
238,"LaPorte County, Indiana",104916,16729,15.945137062030575,0500000US18091
239,"Madison County, Indiana",127103,18899,14.869043216918563,0500000US18095
240,"Marion County, Indiana",951702,146876,15.432982172991125,0500000US18097
241,"Monroe County, Indiana",126376,24473,19.365227574855986,0500000US18105
242,"Morgan County, Indiana",71390,5839,8.17901666900126,0500000US18109
243,"Porter County, Indiana",171375,15541,9.068417213712618,0500000US18127
244,"St. Joseph County, Indiana",260560,33148,12.721829904820387,0500000US18141
