,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total % Change,CAGR
109,"Escambia County, Florida",298043,299114,302715,305817,310659,311003,315187,313512,315534,318316,321905,322390,324878,0.09003734360478188,0.0072101988636603664
110,"Flagler County, Florida",95928,97376,98359,99956,102408,105392,108310,110510,112067,115081,115378,120932,126705,0.3208343757818364,0.023459583323766964
111,"Hernando County, Florida",173008,173094,173422,174441,175855,178439,182835,186553,190865,193920,194515,200638,206896,0.19587533524461298,0.01501819111356828
112,"Highlands County, Florida",98700,98630,98128,97616,98236,99491,100917,102883,105424,106221,101235,103296,105618,0.07009118541033432,0.005661286929798726
113,"Hillsborough County, Florida",1233846,1267775,1277746,1291578,1316298,1349050,1376238,1408566,1436888,1471968,1459762,1478194,1513301,0.22649098834052217,0.017158650171939405
114,"Indian River County, Florida",138268,138894,140567,141994,144755,147919,151563,154383,157413,159923,159788,163662,167352,0.2103451268550931,0.016036014271197052
115,"Lake County, Florida",297950,301019,303186,308034,315690,325875,335396,346017,356495,367118,383956,395804,410139,0.3765363315992616,0.02698864042290805
116,"Lee County, Florida",620151,631330,645293,661115,679513,701982,722336,739224,754610,770577,760822,787976,822453,0.3262140994693228,0.023806313527911183
117,"Leon County, Florida",276058,277971,283769,281845,283988,286272,287822,290292,292502,293582,292198,292817,297369,0.07719754544334889,0.006216140785443303
118,"Manatee County, Florida",323435,327142,333895,342106,351746,363369,375888,385571,394855,403253,399710,412703,429125,0.3267735402785723,0.0238422961748892
119,"Marion County, Florida",331290,332529,335125,337362,339167,343254,349020,354353,359977,365579,375908,385915,396415,0.19658003561834048,0.015068021459803349
120,"Martin County, Florida",146393,147495,148817,151263,153392,156283,158701,159923,160912,161000,158431,159942,162006,0.106651274309564,0.008480640722439814
121,"Miami-Dade County, Florida",2505379,2554766,2591035,2617176,2662874,2693117,2712945,2751796,2761581,2716940,2701767,2662777,2673837,0.06723852957975618,0.005437605314233096
122,"Monroe County, Florida",73269,73873,74809,76351,77136,77482,79077,77013,75027,74228,82874,82170,81708,0.11517831552225366,0.009125915912897575
123,"Nassau County, Florida",73473,74195,74629,75710,76619,78444,80622,82721,85832,88625,90352,94189,97899,0.33244865460781514,0.024206529520484077
124,"Okaloosa County, Florida",180728,183482,190083,193811,196512,198664,201170,202970,207269,210738,211668,213255,216482,0.1978332079146563,0.015156568603490461
125,"Orange County, Florida",1149500,1169107,1202234,1225267,1253001,1288126,1314367,1348975,1380645,1393452,1429908,1422746,1452726,0.2637894736842106,0.019701115685535564
126,"Osceola County, Florida",269837,276163,287416,298504,310211,323993,336015,352180,367990,375751,388656,403282,422545,0.5659268373128963,0.03808031490433761
127,"Palm Beach County, Florida",1323394,1335187,1356545,1372171,1397710,1422789,1443810,1471150,1485941,1496770,1492191,1497987,1518477,0.1474111262405602,0.011524923544487864
128,"Pasco County, Florida",465543,466457,470391,475502,485331,497909,512368,525643,539630,553947,561891,584067,608794,0.30770734389734145,0.02260806500853718
129,"Pinellas County, Florida",916719,917398,921319,929048,938098,949827,960730,970637,975280,974996,959107,956615,961739,0.04910992354254695,0.004003167422256704
130,"Polk County, Florida",602788,609492,616158,623009,634638,650092,666149,686483,708009,724777,725046,753520,787404,0.3062701978141569,0.02251436553019226
131,"Putnam County, Florida",74262,74041,73263,72577,72143,72023,72277,73464,74163,74521,73321,74167,74731,0.00631547763324436,0.0005247725260730807
132,"St. Johns County, Florida",191323,195823,202188,209647,217919,226640,235087,243812,254261,264672,273425,292466,306841,0.6037852218499606,0.04014890755025835
133,"St. Lucie County, Florida",278689,280379,283866,286832,291028,298563,306507,313506,321128,328297,329226,343579,358704,0.2871121572792612,0.02125618409641583
134,"Santa Rosa County, Florida",151966,154104,158512,161096,163422,167040,170497,174272,179349,184313,188000,193998,198268,0.30468657462853543,0.022411006496556807
135,"Sarasota County, Florida",379874,382213,386147,390429,396962,405549,412569,419119,426718,433742,434006,447057,462286,0.21694561881044772,0.01649660145195453
136,"Seminole County, Florida",423508,425071,430838,436041,442516,449144,455479,462659,467832,471826,470856,470093,478772,0.13049104149154211,0.010273420275064504
137,"Sumter County, Florida",94074,97756,101620,107056,114350,118891,123996,125165,128754,132420,129752,135638,144970,0.5410208984416522,0.036694300039788796
138,"Volusia County, Florida",494527,494804,496950,500800,507531,517887,529364,538692,547538,553284,553543,564412,579192,0.17120399897275584,0.013256454450682797
139,"Barrow County, Georgia",69731,69912,70169,71453,73240,75370,77126,79061,80809,83240,83505,86658,89299,0.2806212444967089,0.020826005564363426
140,"Bartow County, Georgia",100195,100421,100661,101273,101736,102747,103807,105054,106408,107738,108901,110843,112816,0.12596436947951495,0.009935691604722408
141,"Bibb County, Georgia",155715,156433,156462,154721,153905,153721,152760,152862,153095,153159,157346,156762,156197,0.0030953986449604454,0.00025758464938507863
142,"Bulloch County, Georgia",70729,72881,72694,71214,72087,72651,74722,76149,77296,79608,81099,82442,83059,0.17432736218524236,0.013481358785357278
143,"Carroll County, Georgia",110661,111159,111580,112355,114093,114545,116261,117812,118121,119992,119148,121968,124592,0.12588897624275952,0.00993005609057751
144,"Chatham County, Georgia",265871,271544,276434,278434,283379,286956,289082,290501,289195,289430,295291,296329,301107,0.13253043769346795,0.010425171896361718
