,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total % Change,CAGR
570,"Butler County, Pennsylvania",184059,184848,184970,185476,185943,186818,186847,187108,187888,187853,193763,194273,197300,0.07193888916054081,0.005805877038570051
571,"Cambria County, Pennsylvania",143498,143728,141584,140499,137732,136411,134732,133054,131730,130192,133472,132167,131441,-0.08402207696274511,-0.007286905493225526
572,"Carbon County, Pennsylvania",65220,65154,65006,64786,64441,63960,63594,63853,64227,64182,64749,65412,65460,0.0036798528058876734,0.00030613841012328
573,"Centre County, Pennsylvania",154127,154722,155171,155403,158742,160580,161464,162660,162805,162385,158172,157527,158425,0.027886093935520773,0.0022946584856538
574,"Chester County, Pennsylvania",499797,503897,506575,509468,512784,515939,516312,519293,522046,524989,534413,538649,545823,0.09208938829164648,0.007368072594057473
575,"Clearfield County, Pennsylvania",81562,81445,81184,81174,81191,80994,80596,79685,79388,79255,80562,80082,77904,-0.044849317083936135,-0.003816545721351483
576,"Crawford County, Pennsylvania",88657,88740,87598,87376,87175,86484,86257,86159,85063,84629,83938,83351,82670,-0.0675299186753443,-0.005809576460311328
577,"Cumberland County, Pennsylvania",235861,237892,238614,241212,243762,246338,248506,250066,251423,253370,259469,262919,268579,0.13871729535616306,0.010884008637893405
578,"Dauphin County, Pennsylvania",268220,268977,269665,270937,271453,272983,273707,275710,277097,278299,286401,287400,288800,0.07672805905599889,0.006179587665357422
579,"Delaware County, Pennsylvania",559276,559494,561098,561973,562960,563894,563402,564696,564751,566747,576830,573849,575182,0.02844034072622459,0.0023396846611034583
580,"Erie County, Pennsylvania",280686,280985,280646,280294,278443,278045,276207,274541,272061,269728,270876,269011,267689,-0.046304411335086226,-0.003943101138862315
581,"Fayette County, Pennsylvania",136446,136097,135660,134999,134086,133628,132733,131504,130441,129274,128804,126931,125755,-0.07835334124855253,-0.006776382926175661
582,"Franklin County, Pennsylvania",149834,150811,151275,152085,152892,153638,153851,154234,154835,155027,155932,156289,156902,0.047172203905655685,0.003848502541262455
583,"Indiana County, Pennsylvania",88847,89298,88218,87745,87706,86966,86364,84953,84501,84073,83246,82886,82957,-0.06629374092541107,-0.005699809760860708
584,"Lackawanna County, Pennsylvania",214367,214166,214477,213931,212719,211917,211321,210761,210793,209674,215896,215663,215615,0.005821791600386206,0.0004838595605380913
585,"Lancaster County, Pennsylvania",520156,523594,526823,529600,533320,536624,538500,542903,543557,545724,552984,553652,556629,0.07011934881074144,0.005663492544005555
586,"Lawrence County, Pennsylvania",90968,90535,89871,89333,88771,88082,87294,87069,86184,85512,86070,85497,84849,-0.06726541201301561,-0.005786078315180521
587,"Lebanon County, Pennsylvania",133688,134311,135251,135486,136359,137067,138863,139754,141314,141793,143257,143493,144011,0.07721710250733049,0.006217663136177887
588,"Lehigh County, Pennsylvania",350106,352947,355245,355092,357823,360685,363147,366494,368100,369318,374557,375539,376317,0.0748658977566794,0.006034460063452096
589,"Luzerne County, Pennsylvania",320795,320651,321027,320103,318829,318449,316383,317343,317646,317417,325594,326053,326369,0.017375582537134227,0.001436560303379908
590,"Lycoming County, Pennsylvania",116143,116747,117168,116754,116508,116048,115248,113841,113664,113299,114188,113605,113104,-0.026166019475990843,-0.0022070975268013715
591,"Mercer County, Pennsylvania",116558,116205,115655,115195,114884,114234,112913,111750,110683,109424,110652,109972,109220,-0.06295578167092775,-0.005404079016377739
592,"Monroe County, Pennsylvania",169896,169882,168798,167148,166314,166397,166098,168046,169507,170271,168327,169273,167198,-0.015880303244337757,-0.0013330895026607559
593,"Montgomery County, Pennsylvania",801052,804210,808460,812376,816857,819264,821725,826075,828604,830915,856553,860578,864683,0.07943429390351686,0.0063900885514760475
594,"Northampton County, Pennsylvania",298101,298476,299267,299791,300654,300813,302294,303405,304807,305285,312951,313628,318526,0.06851704623600718,0.005537923676316225
595,"Northumberland County, Pennsylvania",94366,94558,94428,94076,93944,93246,92541,92029,91083,90843,91647,91266,90133,-0.044857257910688175,-0.003817235887356052
596,"Philadelphia County, Pennsylvania",1528306,1536471,1547607,1553165,1560297,1567442,1567872,1580863,1584138,1584064,1603797,1576251,1567258,0.025487042516354697,0.0020995061469377685
597,"Schuylkill County, Pennsylvania",148228,147513,147063,146920,145797,144590,143573,142569,142067,141359,143049,143264,143104,-0.03456836764983673,-0.002927372717105192
598,"Somerset County, Pennsylvania",77626,77405,76957,76520,76218,75522,75061,74501,73952,73447,74129,73627,72710,-0.06332929688506428,-0.005437123045453962
599,"Washington County, Pennsylvania",207875,208282,208716,208206,208187,208261,207981,207298,207346,206865,209349,209470,210383,0.012064942874323581,0.0009998946956397692
600,"Westmoreland County, Pennsylvania",365012,364471,363395,362437,359320,357956,355458,352627,350611,348899,354663,353057,352057,-0.035491983825189255,-0.0030068981530075867
601,"York County, Pennsylvania",435490,436770,437846,438965,440755,442867,443744,446078,448273,449058,456438,458696,461058,0.05871087740246628,0.0047656543320291345
602,"Kent County, Rhode Island",166103,165535,164843,165035,165128,164801,164614,163760,163861,164292,170363,170715,171275,0.03113730637014389,0.002558465135598098
603,"Newport County, Rhode Island",82852,82695,82036,82397,82358,82423,82784,83460,82542,82082,85643,85264,84481,0.019661565200598696,0.001623881521265691
604,"Providence County, Rhode Island",627070,626709,628323,628600,631974,633473,633673,637357,636084,638931,660741,658221,657288,0.04818919737828309,0.00392970959438288
605,"Washington County, Rhode Island",127008,126563,125946,126259,126653,126517,126288,126150,126179,125577,129839,130592,130330,0.026155832703451676,0.002153951339298743
606,"Aiken County, South Carolina",160565,160682,162812,164176,164753,165829,167458,168179,169401,170872,168808,170776,174150,0.08460747983682615,0.006791135203120691
607,"Anderson County, South Carolina",187269,188488,189355,190641,192810,194692,196569,198759,200482,202558,203718,206908,209581,0.11914411888780307,0.009424484515340392
608,"Beaufort County, South Carolina",162989,164684,168049,171838,175852,179589,183149,186844,188715,192122,187117,191748,196371,0.20481136763830698,0.015648086677862327
609,"Berkeley County, South Carolina",178783,183525,189781,194020,198205,202786,210898,217937,221091,227907,229861,236701,245117,0.37103080270495514,0.026645720129400807
610,"Charleston County, South Carolina",351482,357704,365162,372803,381015,389262,396484,401438,405905,411406,408235,413024,419279,0.19288896728708727,0.01480672169369912
611,"Dorchester County, South Carolina",137476,140892,142496,145397,148469,152478,153773,156456,160647,162809,161540,163327,166133,0.20845092961680578,0.01590341060052647
612,"Florence County, South Carolina",137088,137862,137948,138326,139231,138900,138742,138566,138159,138293,137059,136504,136721,-0.0026771125116713534,-0.00022336691537849784
613,"Greenville County, South Carolina",452859,461299,467605,474266,482752,491863,498766,506837,514213,523542,525534,533834,547950,0.20997926506926,0.016010416871102606
614,"Greenwood County, South Carolina",69703,69835,69756,69723,69520,69838,70133,70355,70741,70811,69351,69241,69267,-0.006255110970833422,-0.0005227596587085159
615,"Horry County, South Carolina",270430,276340,282285,289650,298832,309199,322342,333268,344147,354081,351029,365579,383101,0.4166364678475021,0.029449075960954696
616,"Lancaster County, South Carolina",76889,77908,79089,80458,83160,85842,89594,92550,95380,98012,96016,100336,104577,0.36010352586195693,0.025961342572337953
617,"Laurens County, South Carolina",66500,66528,66223,66229,66533,66623,66777,66848,66994,67493,67539,67803,67965,0.022030075187969844,0.0018175596900043
618,"Lexington County, South Carolina",263406,267129,270406,273752,277888,281833,286196,290642,295032,298750,293991,300137,304797,0.15713765062299268,0.012236714473778498
619,"Oconee County, South Carolina",74359,74418,74627,75045,75192,75713,76355,77270,78374,79546,78607,79203,80180,0.07828238679917687,0.006300548186779498
620,"Orangeburg County, South Carolina",92346,91910,91476,90942,90090,89208,87903,87476,86934,86175,84223,82962,83094,-0.10018842180495091,-0.008758906567595037
621,"Pickens County, South Carolina",119217,119574,119670,119829,120368,121691,122863,123479,124937,126884,131404,132229,133462,0.11948799248429331,0.009450327593962804
622,"Richland County, South Carolina",385745,389116,393830,399256,401566,407051,409549,411592,414576,415759,416147,418307,421566,0.0928618647033661,0.007427432502140396
623,"Spartanburg County, South Carolina",284713,286868,288745,290969,293542,297302,301463,306854,313888,319785,327997,335864,345831,0.21466529452466165,0.016337738218608733
624,"Sumter County, South Carolina",107570,107460,108052,108123,107919,107480,107396,106847,106512,106721,105556,104758,104012,-0.033076136469275874,-0.0027990354869715794
625,"York County, South Carolina",226971,230528,234635,239363,245346,251195,258526,266439,274118,280979,282090,288595,294248,0.29641231699203874,0.02186908948509747
626,"Minnehaha County, South Dakota",169987,171752,175037,179640,182882,185197,187318,188616,192876,193134,197214,199685,203971,0.1999211704424455,0.0153039122492995
627,"Pennington County, South Dakota",101348,102815,104347,105761,108242,108702,109372,110141,111729,113775,109222,111806,114461,0.12938587835971105,0.010191080132548214
628,"Anderson County, Tennessee",75160,75233,75416,75542,75528,75749,75936,76257,76482,76978,77123,77576,78913,0.04993347525279401,0.004068822377537584
629,"Blount County, Tennessee",123119,123901,124177,125099,126339,127253,128670,129929,131349,133088,135280,137605,139958,0.13677011671634753,0.010739846713062162
630,"Bradley County, Tennessee",99078,100055,101134,101848,102975,104091,104490,105560,106727,108110,108620,110162,110616,0.1164537031429782,0.009222040492528727
631,"Davidson County, Tennessee",628133,635475,648295,658602,668347,678889,684410,691243,692587,694144,715884,703953,708144,0.1273790741769658,0.010041374245063794
632,"Greene County, Tennessee",68797,69339,68819,68267,68335,68580,68615,68808,69087,69069,70152,70621,71405,0.03790862973676168,0.0031054582731462332
633,"Hamilton County, Tennessee",337294,340855,345545,348673,351220,354098,357738,361613,364286,367804,366207,369135,374682,0.11084691693300197,0.008798709123680082
634,"Knox County, Tennessee",433108,436929,441311,444622,448644,451324,456132,461860,465289,470313,478971,486677,494574,0.14191841295935426,0.011120517201379965
635,"Madison County, Tennessee",98395,98255,98656,98733,98178,97610,97663,97643,97605,97984,98823,98775,99245,0.008638650337923659,0.0007170528516917685
636,"Maury County, Tennessee",81141,81509,81990,83761,85515,87757,89981,92163,94340,96387,100974,104760,108159,0.33297593078714827,0.02424029828778318
637,"Montgomery County, Tennessee",173307,176619,184468,184119,189961,193479,195734,200182,205950,208993,220069,227900,235201,0.3571350262828392,0.025774554299500485
638,"Putnam County, Tennessee",72564,72958,73229,73525,74165,74553,75931,77674,78843,80245,79854,81188,82382,0.13530125130918913,0.010630947476621744
639,"Robertson County, Tennessee",66469,67106,66931,67383,68079,68570,69165,70177,71012,71813,72803,74098,75470,0.1354165099520077,0.01063949722876023
640,"Rutherford County, Tennessee",263740,268921,274454,281029,288906,298612,308251,317157,324890,332285,341486,352182,360619,0.3673276711913247,0.026414354144533636
641,"Sevier County, Tennessee",90072,91466,92512,93570,95110,95946,96673,97638,97892,98250,98380,99517,98789,0.0967781330491162,0.007727782367283442
642,"Shelby County, Tennessee",929030,935088,940764,939465,938803,938069,934603,936961,935764,937166,929744,924454,916371,-0.013626040063291822,-0.001142657217122256
643,"Sullivan County, Tennessee",156794,157419,156786,156595,157047,156791,156667,157158,157668,158348,158163,159265,160820,0.025677002946541405,0.00211497384550019
644,"Sumner County, Tennessee",161250,163686,166123,168888,172706,175989,180063,183545,187149,191283,196281,200557,203858,0.2642356589147288,0.019731111581544836
645,"Washington County, Tennessee",123338,124353,125094,125546,126242,126302,127440,127806,128607,129375,133001,134236,136172,0.10405552222348335,0.008283304829076465
646,"Williamson County, Tennessee",184035,188560,192911,198901,205226,211672,219107,226257,231729,238412,247726,255735,260815,0.4172032493819111,0.029483392325426072
647,"Wilson County, Tennessee",114537,116617,118961,121945,125376,128911,132781,136442,140625,144657,147737,151917,158555,0.3843124929062225,0.02747085475267763
648,"Angelina County, Texas",86953,87669,87597,87441,87750,88255,87791,87805,87092,86715,86395,86506,87101,0.0017020689337918782,0.00014172854721028472
649,"Bastrop County, Texas",74403,75115,74763,75825,78069,80527,82733,84761,86976,88723,97216,102058,106188,0.4272005161082215,0.03008662815063956
650,"Bell County, Texas",313000,315196,323037,326843,329140,334941,340411,347833,355642,362924,370647,379617,388386,0.24084984025559097,0.018145710181696417
651,"Bexar County, Texas",1723780,1756153,1785704,1817610,1855866,1897753,1928680,1958578,1986049,2003554,2009324,2028236,2059530,0.194775435380385,0.014940361842118222
652,"Bowie County, Texas",92723,92793,93148,93487,93275,93389,93860,94012,94324,93245,92893,92581,92035,-0.007419949742782261,-0.00062044198807365
653,"Brazoria County, Texas",314494,319973,324769,330242,338124,346312,354195,362457,370200,374264,372031,379689,388181,0.23430335713876893,0.017696995842885643
654,"Brazos County, Texas",195693,197632,200665,203164,209152,215037,220417,222830,226758,229211,233849,237032,242014,0.2367023858799242,0.01786168469870919
655,"Cameron County, Texas",408054,414123,415557,417276,420392,422156,422135,423725,423908,423163,421017,423029,425208,0.042038553720830985,0.00343747313784748
656,"Collin County, Texas",788407,812226,834642,854778,885241,914127,939585,969603,1005146,1034730,1064465,1109462,1158696,0.4696673165002341,0.03260665498306947
657,"Comal County, Texas",109382,111963,114384,118480,123694,129048,134788,141009,148373,156209,161501,174986,184642,0.6880473935382421,0.0445968686664282
658,"Coryell County, Texas",75645,76508,77231,76192,75562,75503,74686,74913,74808,75951,83093,84232,85057,0.12442329301341792,0.00982043001515498
659,"Dallas County, Texas",2377351,2416014,2453843,2480331,2518638,2553385,2574984,2618148,2637772,2635516,2613539,2586050,2600840,0.09400757397624493,0.0075154021990258
660,"Denton County, Texas",667053,686406,707304,728799,753363,780612,806180,836210,859064,887207,906422,941647,977281,0.46507249049176,0.03233723684542866
661,"Ector County, Texas",137145,140111,144325,149378,153904,159436,157462,157087,162124,166223,165171,161091,160869,0.1729847971125451,0.013384751838164233
662,"Ellis County, Texas",150462,152753,153969,155976,159317,163632,168499,173620,179436,184826,192455,202678,212182,0.41020324068535574,0.0290586850382768
663,"El Paso County, Texas",804338,820790,827398,827718,833487,835593,837918,840410,840758,839238,865657,867947,868763,0.0800969244272931,0.006441556655509384
664,"Fort Bend County, Texas",590350,606953,627293,652365,685345,716087,741237,764828,787858,811688,822779,858527,889146,0.5061336495299398,0.034717893101329445
665,"Galveston County, Texas",292607,295747,300484,306782,314198,322225,329431,335036,337890,342139,350682,355062,357117,0.22046635931471226,0.016741345611037906
666,"Grayson County, Texas",121145,121419,121935,122353,123534,125467,128235,131140,133991,136212,135543,139336,143131,0.18148499731726453,0.013994698275983097
667,"Gregg County, Texas",121854,123081,122658,123024,123204,124108,123745,123367,123707,123945,124239,124201,125443,0.02945328015493942,0.0024219168933579116
668,"Guadalupe County, Texas",132431,135757,139841,143183,147250,151249,155265,159659,163694,166847,172706,177036,182760,0.3800394167528751,0.027206181552654973
669,"Harris County, Texas",4110771,4180894,4253700,4336853,4441370,4538028,4589928,4652980,4698619,4713325,4731145,4728030,4780913,0.1630210001968,0.012664602873246444
670,"Harrison County, Texas",65766,66296,67450,66886,67336,66746,66534,66661,66726,66553,68839,69150,69955,0.06369552656387789,0.0051590280852364945
671,"Hays County, Texas",158312,164050,168990,176026,185025,194739,204470,214485,222631,230191,241067,255397,269225,0.7005975541967759,0.04524186421626264
672,"Henderson County, Texas",78647,78826,79094,78675,79290,79545,79901,81064,82299,82737,82150,83667,84511,0.0745610131346397,0.006010676916802904
673,"Hidalgo County, Texas",780087,797810,806552,815996,831073,842304,849843,860661,865939,868707,870781,880356,888367,0.1388050307209323,0.010890498919092106
674,"Hunt County, Texas",86353,86531,87079,87048,88493,89844,92073,93872,96493,98594,99956,103394,108282,0.2539460122983568,0.0190368832029284
675,"Jefferson County, Texas",252390,252802,251813,252358,252235,254308,254679,256299,255001,251565,256526,253704,250830,-0.006180910495661496,-0.0005165408302236774
676,"Johnson County, Texas",151211,152734,153441,154707,157456,159990,163274,167301,171361,175817,179927,187280,195506,0.2929350377948694,0.021640400671930626
677,"Kaufman County, Texas",103927,105358,106753,108568,111236,114690,118350,122883,128622,136154,145310,157768,172366,0.658529544776622,0.04306234555234045
678,"Liberty County, Texas",75868,76206,76571,76907,78117,79654,81704,83658,86323,88219,91628,97621,101992,0.3443348974534719,0.024964812322335383
679,"Lubbock County, Texas",280237,283910,285760,289324,293974,299453,303137,305225,307412,310569,310639,314451,317561,0.1331872664922904,0.010473993247967606
680,"McLennan County, Texas",236028,238564,238707,241481,243441,245671,247934,251259,254607,256623,260579,263115,266836,0.130526886640568,0.01027608968108007
681,"Midland County, Texas",136975,140308,146645,151468,155830,161077,162565,165049,172578,176832,169983,167969,171999,0.2556962949443329,0.01915534009223907
682,"Montgomery County, Texas",459018,471734,485047,499137,518947,537559,556203,570934,590925,607391,620443,648886,678490,0.4781337551032858,0.03310106971669469
683,"Nueces County, Texas",340480,343281,347691,352107,356221,359715,361350,361221,362265,362294,353178,353079,351674,0.032877114661654216,0.002699321909235941
684,"Orange County, Texas",81930,82487,82977,82957,83433,84260,84964,85047,83572,83396,84808,84742,84934,0.03666544611253508,0.0030052785004308635
685,"Parker County, Texas",117283,118376,119712,121418,123164,126042,129441,133463,138371,142878,148222,156764,165834,0.4139645131860543,0.029287130039056253
686,"Potter County, Texas",121446,122285,122335,121661,121627,121802,120832,120458,119648,117415,118525,116547,115645,-0.0477660853383397,-0.004070407151997579
687,"Randall County, Texas",121208,123351,125082,126474,128220,130269,132501,134442,136271,137713,140753,143854,146140,0.20569599366378455,0.015710210269404
688,"Rockwall County, Texas",79003,81290,83021,85245,87809,90861,93978,96788,100657,104915,107819,116381,123208,0.5595357138336519,0.03772658708603949
689,"San Patricio County, Texas",64586,64726,65600,66137,66915,67357,67655,67215,66893,66730,68755,69699,69954,0.0831139875514817,0.006675533888759855
690,"Smith County, Texas",210512,213381,214821,216080,218842,222936,225290,227727,230221,232751,233479,237186,241922,0.1492076461199361,0.011656808984873868
691,"Tarrant County, Texas",1817658,1849815,1880153,1911541,1945360,1982498,2016872,2054475,2084931,2102515,2110640,2126477,2154595,0.1853687547382401,0.014272046176986297
692,"Taylor County, Texas",131896,132755,133473,134117,135143,136051,136535,136290,137640,138034,143208,143326,145163,0.10058682598410873,0.008018940492290794
693,"Tom Green County, Texas",110679,111823,113281,114954,116608,118105,118386,118019,118189,119200,120003,119411,118892,0.07420558552209533,0.005982943251057415
694,"Travis County, Texas",1030806,1063130,1095584,1120954,1151145,1176558,1199323,1226698,1248743,1273954,1290188,1305154,1326436,0.28679499343232373,0.02123521065042433
695,"Victoria County, Texas",86878,87545,89269,90028,91081,92382,92467,92084,92035,92084,91319,90964,91065,0.04819401919933708,0.003930094445325105
696,"Walker County, Texas",68185,68087,68408,68817,69789,70699,71484,72245,72480,72971,76400,77977,78870,0.15670602038571535,0.012205244097453827
697,"Webb County, Texas",251632,256496,259172,262495,266673,269721,271193,274794,275910,276652,267114,267945,267780,0.06417307814586382,0.005196626292545137
698,"Wichita County, Texas",131685,130698,131559,132047,132355,131705,131838,132000,132064,132230,129350,130069,129978,-0.01296275202187036,-0.0010867009191946053
699,"Williamson County, Texas",426645,442782,456232,471014,489250,508514,528718,547545,566719,590551,609017,643026,671418,0.5737158527581478,0.03850962660414203
700,"Cache County, Utah",113417,114699,115520,116909,118343,120783,122753,124438,127068,128289,133154,137417,140173,0.2359081971838437,0.01780719757480509
701,"Davis County, Utah",307856,311811,315809,322094,329692,336043,342281,347637,351713,355481,362679,367285,369948,0.20169170001559178,0.015428671211122236
702,"Salt Lake County, Utah",1033910,1048985,1063842,1079721,1091742,1107314,1121354,1135649,1152633,1160437,1185238,1186421,1186257,0.14735034964358595,0.011520458526548705
703,"Utah County, Utah",520049,530499,540504,551891,560974,575205,592299,606425,622213,636235,659399,684986,702434,0.3507073371932261,0.02536881500978394
704,"Washington County, Utah",138451,141666,144809,147800,151948,155602,160245,165662,171700,177556,180279,191226,197680,0.42779756014763337,0.030122531140864828
705,"Weber County, Utah",232228,234420,236640,238519,240475,243645,247560,251769,256359,260213,262223,267066,269561,0.1607601150593383,0.012500406868293457
706,"Chittenden County, Vermont",156705,157491,158504,159515,160531,161382,161531,162372,164572,163774,168323,168865,169301,0.08038033247184195,0.006463560802379753
707,"Albemarle County, Virginia",99150,100553,102251,103000,104489,105703,106878,107702,108718,109330,112395,113535,114534,0.155158850226929,0.012092350630106496
708,"Arlington County, Virginia",209457,216004,221045,224906,226908,229164,230050,234965,237521,236842,238643,232965,234000,0.11717440811240487,0.009276314741011094
709,"Augusta County, Virginia",74192,74897,73658,73912,73862,74314,74997,75144,75457,75558,77487,77563,78064,0.052188915246926815,0.004248388543022452
710,"Bedford County, Virginia",68735,69246,69590,69825,76583,77724,77960,77974,78747,78997,79462,80131,80848,0.1762275405543028,0.013617917002048285
711,"Chesterfield County, Virginia",317102,320277,323856,327745,332499,335687,339009,343599,348556,352802,364548,370688,378408,0.1933321139570232,0.014838132249616498
712,"Fairfax County, Virginia",1086743,1100692,1118602,1130924,1137538,1142234,1138652,1148433,1150795,1147532,1150309,1139720,1138331,0.04747028506279771,0.003872311844868026
713,"Fauquier County, Virginia",62971,66320,66542,67207,68248,68782,69069,69465,70675,71222,72972,73815,74664,0.18568865033110482,0.014294853498224791
714,"Frederick County, Virginia",78511,79666,80317,81319,82377,83199,84421,86484,88355,89313,91419,93717,95051,0.21067111614932932,0.016058816030769307
715,"Hanover County, Virginia",99948,100342,100668,101330,101918,103227,104392,105923,107239,107766,109979,111603,112938,0.12996758314323453,0.010234429230323583
716,"Henrico County, Virginia",307435,310445,314932,318611,321924,325155,326501,327898,329261,330818,334389,333554,333962,0.08628490575243553,0.006920799747075934
717,"James City County, Virginia",67237,68200,68967,70516,72583,73147,74404,75524,76397,76523,78254,79882,81199,0.20765352410131332,0.015847531067430864
718,"Loudoun County, Virginia",315134,325405,336898,349679,363050,375629,385945,398080,406850,413538,420959,427592,432085,0.37111514466861717,0.02665098301107882
719,"Montgomery County, Virginia",94531,94342,95194,96207,97244,97653,98602,98559,98985,98535,99721,98473,98915,0.04637632099522904,0.0037849007517043454
720,"Prince William County, Virginia",406110,419006,430289,438580,446094,451721,455210,463023,468011,470335,482204,484472,486943,0.19904213144222016,0.01524190876337883
721,"Roanoke County, Virginia",92389,92740,92901,93524,93785,94409,94031,93730,94073,94186,96929,96589,96914,0.04897769214949821,0.003992621307200128
722,"Rockingham County, Virginia",76413,76589,77391,77741,78171,78593,79744,80227,81244,81948,83757,84394,85397,0.11757161739494593,0.009306213728678125
723,"Spotsylvania County, Virginia",122853,124327,125684,127348,129188,130475,132010,133033,134238,136215,140032,143676,146688,0.19401235623061708,0.014886327515515108
724,"Stafford County, Virginia",129745,132133,134352,136788,139992,142003,144361,146649,149960,152882,156927,160877,163380,0.2592392770434313,0.019394662025272735
725,"York County, Virginia",65467,66134,66146,66269,66342,67837,67976,67739,67846,68280,70045,70915,71341,0.08972459407029487,0.007186113606825639
726,"Alexandria city, Virginia",140912,144301,146294,148892,150575,153511,155810,160035,160530,159428,159467,154706,155525,0.10370302032474177,0.008256473916894214
727,"Chesapeake city, Virginia",222986,225050,228417,230571,233371,235429,237940,240397,242634,244835,249422,251269,252488,0.13230427022324265,0.010408355113277423
728,"Hampton city, Virginia",137381,136401,136836,136699,136879,136454,135410,134669,134313,134510,137148,137746,138037,0.004775041672429259,0.00039705191453665023
729,"Lynchburg city, Virginia",75686,76503,77113,78014,79047,79812,80212,80995,82126,82168,79009,79009,79287,0.04757815183785641,0.003880926198887913
730,"Newport News city, Virginia",180712,179611,180726,182020,182965,182385,181825,179388,178626,179225,186247,184587,184306,0.019887998583381306,0.0016424152853748986
731,"Norfolk city, Virginia",243135,242628,245782,246139,245428,246393,245115,244703,244076,242742,238005,235089,232995,-0.04170522549201061,-0.0035436937876967
732,"Portsmouth city, Virginia",95696,95684,96470,96205,96004,96201,95252,94572,94632,94398,97915,97840,97029,0.013929526834977501,0.0011534482596033957
733,"Richmond city, Virginia",204389,205533,210309,214114,217853,220289,223170,227032,228783,230436,226610,226604,229395,0.12234513599068442,0.00966476909333247
734,"Roanoke city, Virginia",96967,96714,97469,98465,99428,99897,99660,99837,99920,99143,100011,98865,97847,0.00907525240545759,0.0007531434506515833
735,"Suffolk city, Virginia",84906,84930,85181,85728,86806,88161,89273,90237,91185,92108,94324,96194,98537,0.16054224671990203,0.01248456877231141
736,"Virginia Beach city, Virginia",439172,442707,447021,448479,450980,452745,452602,450435,450189,449974,459470,457672,455618,0.03744774257010919,0.003068331325491336
737,"Benton County, Washington",176455,180678,182398,184486,186486,190309,193686,198171,201877,204390,206873,210025,212791,0.2059221897934318,0.01572608837125533
738,"Chelan County, Washington",72735,73477,73687,73967,74588,75644,76338,76533,77036,77200,79074,79646,79926,0.09886574551453897,0.007887485892817736
739,"Clallam County, Washington",71515,71838,71863,72312,72715,73486,74570,75474,76737,77331,77155,78209,77805,0.08795357617283095,0.007049605515394131
740,"Clark County, Washington",427044,433418,438287,443817,451008,459495,467018,474643,481857,488241,503311,511404,516779,0.210130572025365,0.016021003873004647
741,"Cowlitz County, Washington",102501,102478,101996,101860,102133,103468,105160,106910,108987,110593,110730,111524,111956,0.09224300250729267,0.007379879936515232
742,"Franklin County, Washington",79223,83455,85845,86638,87809,88807,90160,92125,94347,95222,96749,98268,98678,0.24557262411168468,0.018468077570408692
743,"Grant County, Washington",89744,91265,91723,91878,93147,93259,93546,95158,97331,97733,99123,100297,101311,0.12888883936530582,0.010154024177574605
744,"Grays Harbor County, Washington",72882,72546,71692,71078,70818,71122,71628,72697,73901,75061,75636,76841,77038,0.05702368211629749,0.004632121230669695
745,"Island County, Washington",78681,78971,79177,78801,79275,80593,82636,83159,84460,85141,86857,87432,86625,0.10096465474510996,0.008047773491910215
746,"King County, Washington",1937961,1969722,2007440,2044449,2079967,2117125,2149970,2188649,2233163,2252782,2269675,2252305,2266789,0.1696773051676479,0.013146321534970529
747,"Kitsap County, Washington",251809,254633,254991,253968,254183,260131,264811,266414,269805,271473,275611,274314,277673,0.10271277039343318,0.008181058346638181
748,"Lewis County, Washington",75487,75901,75621,75081,75128,75882,77066,78200,79604,80707,82149,84398,85370,0.13092320532012125,0.010305598559682716
749,"Pierce County, Washington",795628,807904,811681,819743,831928,843954,861312,876764,891299,904980,921130,925708,927380,0.1655949765468283,0.012851181220127073
750,"Skagit County, Washington",117102,118109,118222,118837,120365,121846,123681,125619,128206,129205,129523,130696,131179,0.12021143959966518,0.00950467295241908
751,"Snohomish County, Washington",715470,722400,733036,745913,759583,772501,787620,801633,814901,822083,827957,833540,840079,0.17416383635931632,0.013469597374813125
752,"Spokane County, Washington",472147,473761,475735,479398,484318,490945,499072,506152,514631,522798,539339,546040,549690,0.16423486753066308,0.012752638890354273
753,"Thurston County, Washington",253087,256591,258332,262388,265851,269536,275222,280588,286419,290536,294793,297977,298758,0.1804557326136862,0.013921056072471849
754,"Whatcom County, Washington",201628,203663,205262,206353,208351,212284,216800,221404,225685,229247,226847,228831,230677,0.1440722518697799,0.011279307756333123
755,"Yakima County, Washington",244485,247141,246977,247044,247687,248830,249636,250193,251446,250873,256728,256035,257001,0.05119332474384941,0.004169168451835237
756,"Berkeley County, West Virginia",104641,105750,107098,108706,110497,111901,113525,114920,117123,119171,122076,126069,129490,0.23746906088435704,0.01791425376441591
757,"Cabell County, West Virginia",96378,96653,96974,97133,97109,96844,95987,94958,93224,91945,94350,93418,92730,-0.03785096183776382,-0.0032103287552064375
758,"Harrison County, West Virginia",69233,69436,69141,68972,68761,68714,68400,67811,67554,67256,65921,65158,64915,-0.06236910144006469,-0.00535220113844026
759,"Kanawha County, West Virginia",192976,192315,192179,191275,190223,188332,186241,183293,180454,178124,180745,177952,175515,-0.09048275433214492,-0.007872293202230818
760,"Monongalia County, West Virginia",96791,98528,100332,102274,103463,104236,104622,105030,106420,105612,105822,106387,106869,0.10412125094275293,0.008288306944811419
761,"Raleigh County, West Virginia",78904,79127,79021,78833,78241,77510,76601,75022,74254,73361,74591,73771,72882,-0.07632059211193354,-0.006594015823064958
