,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
763,"Brown County, Wisconsin",248506,251412,253032,254586,256670,258718,260401,262052,263378,264542,268740,269591,270036
764,"Dane County, Wisconsin",489309,495959,503523,509939,516284,523643,531273,536416,542364,546695,561504,563951,568203
765,"Dodge County, Wisconsin",88748,88661,88415,88344,88574,88502,88068,87786,87847,87839,89396,89313,88282
766,"Eau Claire County, Wisconsin",98928,99879,100677,101438,101564,102105,102965,103671,104534,104646,105710,106452,106837
767,"Fond du Lac County, Wisconsin",101665,102079,101843,101798,101759,101973,102144,102548,103066,103403,104154,104362,103836
768,"Jefferson County, Wisconsin",83693,83943,84498,84509,84395,84559,84625,84832,85129,84769,84900,84943,85784
769,"Kenosha County, Wisconsin",166671,167293,167936,167757,168068,168437,168183,168521,169290,169561,169151,168732,167817
770,"La Crosse County, Wisconsin",114874,115572,116461,116713,118011,118212,118122,118274,118230,118016,120784,120433,120294
771,"Manitowoc County, Wisconsin",81349,80976,80671,80654,80160,79806,79536,79175,79074,78981,81359,81505,81172
772,"Marathon County, Wisconsin",134104,134400,134735,135416,135780,135868,135603,135732,135428,135692,138013,137648,137958
773,"Milwaukee County, Wisconsin",948944,952532,955205,956023,956406,957735,951448,952085,948201,945726,939489,928059,918661
774,"Outagamie County, Wisconsin",176912,177913,178816,180345,182006,183245,184526,186059,187365,187885,190705,191545,192127
775,"Ozaukee County, Wisconsin",86365,86568,86823,87054,87470,87850,88314,88429,89147,89221,91503,92497,93009
776,"Portage County, Wisconsin",70053,70084,70433,70380,70482,70408,70447,70474,70942,70772,70377,70468,70718
777,"Racine County, Wisconsin",195510,195388,194797,195041,195163,195080,195140,196071,196584,196311,197727,196896,195846
778,"Rock County, Wisconsin",160310,160092,160418,160739,161188,161448,161620,162309,163129,163354,163687,164381,164060
779,"St. Croix County, Wisconsin",84442,84922,85242,85930,86759,87513,88029,88703,89694,90687,93536,95044,96017
780,"Sheboygan County, Wisconsin",115472,115149,115009,114922,115290,115569,115427,115344,115456,115340,118034,117747,117841
781,"Walworth County, Wisconsin",102205,102931,102851,102945,103527,102804,102959,103082,103718,103868,106478,106799,105380
782,"Washington County, Wisconsin",131971,132386,132661,132739,133251,133674,134296,135101,135693,136034,136761,137175,137688
783,"Waukesha County, Wisconsin",389964,390730,392292,393843,395118,396488,398424,400621,403072,404198,406978,408756,410434
784,"Winnebago County, Wisconsin",167059,167699,168794,169541,169511,169546,169886,170414,171020,171907,171730,171623,170718
785,"Wood County, Wisconsin",74793,74785,74424,73959,73608,73435,73107,73126,73055,72999,74207,74070,73993
786,"Laramie County, Wyoming",92127,92680,94483,95809,96389,97121,98136,98327,98976,99500,100512,100863,100723
787,"Natrona County, Wyoming",75507,76366,78621,80973,81624,82178,81039,79547,79115,79858,79955,79555,79601
788,"Arecibo Municipio, Puerto Rico",96374,95816,94658,93396,91540,89648,87939,86066,82114,81966,87754,87053,86090
789,"Bayamón Municipio, Puerto Rico",207960,205693,202325,198958,194210,189159,184374,179565,170480,169269,185187,182673,181577
790,"Caguas Municipio, Puerto Rico",142749,142678,141392,139559,137032,134481,132164,129604,124434,124606,127244,126756,125136
791,"Carolina Municipio, Puerto Rico",176633,175129,172728,169597,165820,161884,158457,154489,147661,146984,154815,152993,151571
792,"Guaynabo Municipio, Puerto Rico",97864,97280,96226,94645,92799,90879,89307,87328,83787,83728,89780,89195,89057
793,"Mayagüez Municipio, Puerto Rico",89028,87712,86034,84170,81915,79510,77748,75525,71986,71530,73077,71939,70609
794,"Ponce Municipio, Puerto Rico",166164,163727,160322,157118,153540,149028,145278,140859,133191,131881,137491,135084,132138
795,"San Juan Municipio, Puerto Rico",395074,389714,382299,374682,365575,355074,347052,337288,320967,318441,342259,337300,334776
796,"Toa Alta Municipio, Puerto Rico",73954,75105,75434,75292,74837,74368,73980,73217,71094,72025,66852,67569,66041
797,"Toa Baja Municipio, Puerto Rico",89513,88799,87582,85971,84165,82065,80207,78092,74623,74271,75293,74368,72783
798,"Trujillo Alto Municipio, Puerto Rico",74754,74490,73718,72581,71019,69615,68242,66675,63746,63674,67740,67211,66810
