,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
173,"Hawaii County, Hawaii",185406,186738,189191,190821,194190,196428,198449,200381,200983,201513,200629,202906,206315
174,"Honolulu County, Hawaii",955775,963607,976372,983429,991788,998714,992605,988650,980080,974563,1016508,1000890,995638
175,"Kauai County, Hawaii",67226,67701,68434,69512,70475,71735,72029,72159,72133,72293,73298,73454,73810
176,"Maui County, Hawaii",155170,156693,158226,160195,163046,164593,165379,166271,167218,167488,164754,164268,164365
177,"Ada County, Idaho",393531,400842,409061,416464,426236,434211,444028,456849,469966,481587,494967,511931,518907
178,"Bannock County, Idaho",83071,83691,83800,83249,83347,83744,84377,85269,87138,87808,87018,88263,89517
179,"Bonneville County, Idaho",104592,105772,106684,107517,108623,110089,112232,114595,116854,119062,123964,127930,129496
180,"Canyon County, Idaho",189428,191694,193888,198871,203143,207478,211698,216699,223499,229849,231105,243115,251065
181,"Kootenai County, Idaho",138901,141132,142357,144265,147326,150346,154311,157637,161505,165697,171362,179789,183578
182,"Twin Falls County, Idaho",77517,78005,78595,79957,80914,82375,83514,85124,86081,86878,90046,92243,93696
183,"Champaign County, Illinois",201332,201685,203276,204897,207133,208861,208419,209399,209983,209689,205865,205943,206542
184,"Cook County, Illinois",5200950,5217080,5231351,5240700,5246456,5238216,5203499,5211263,5180493,5150233,5275541,5173146,5109292
185,"DeKalb County, Illinois",105201,104743,104704,104741,105462,104352,104528,104733,104143,104897,100420,100414,100232
186,"DuPage County, Illinois",918764,923222,927987,932126,932708,933736,929368,930128,928589,922921,932877,924885,920901
187,"Kane County, Illinois",516499,520271,522487,523643,527306,530847,531715,534667,534216,532403,516522,515588,514182
188,"Kankakee County, Illinois",113502,113698,113040,112120,111375,110879,110008,109605,110024,109862,107502,106601,106074
189,"Kendall County, Illinois",115304,116631,118105,119348,121350,123355,124695,126218,127915,128990,131869,134867,137254
190,"Lake County, Illinois",704596,706222,702120,703019,705186,703910,703047,703520,700832,696535,714342,711239,709150
191,"LaSalle County, Illinois",113840,113518,112973,112183,111241,111333,110642,110067,109430,108669,109658,108965,108078
192,"McHenry County, Illinois",309192,308944,308145,307409,307283,307343,307004,309122,308570,307774,310229,311122,311747
193,"McLean County, Illinois",169832,170556,172281,174647,174061,173166,172418,172290,172828,171517,170954,170889,171141
194,"Macon County, Illinois",110715,110730,110122,109278,108350,107303,106550,105801,104712,104009,103998,102432,101483
195,"Madison County, Illinois",269271,268459,267883,267225,266560,266209,265759,265428,264461,262966,265859,264490,263864
196,"Peoria County, Illinois",186311,186834,187254,188429,187319,186221,185006,183011,180621,179179,181830,179432,178383
197,"Rock Island County, Illinois",147517,147556,147457,147258,146063,146133,144784,144808,143477,141879,144672,142909,141527
198,"St. Clair County, Illinois",270419,270259,268858,266955,265729,264052,262759,262479,261059,259686,257400,254796,252671
199,"Sangamon County, Illinois",197822,198844,199271,199145,198997,198712,197499,196452,195348,194672,196343,194734,194534
200,"Tazewell County, Illinois",135433,135661,135949,136352,135707,134800,134385,133526,132328,131803,131343,130413,129911
201,"Vermilion County, Illinois",81551,81509,80727,80329,79728,79282,78111,77909,76806,75758,74188,73095,72337
202,"Will County, Illinois",678697,681545,682518,682829,685419,687263,689529,692661,692310,690743,696355,697252,696757
203,"Williamson County, Illinois",66369,66622,66674,66924,67008,67466,67560,67328,67056,66597,67153,66879,66695
204,"Winnebago County, Illinois",295127,293993,292069,290666,288542,287078,285873,284778,284081,282572,285350,283119,282188
205,"Allen County, Indiana",355856,358327,360412,363014,365918,368450,370404,372877,375351,379299,385410,388608,391449
206,"Bartholomew County, Indiana",76855,77870,79129,79587,80217,81162,81402,82040,82753,83779,82208,82475,83540
207,"Clark County, Indiana",110610,111570,111951,112938,114262,115371,116031,116973,117360,118302,121093,122738,124237
208,"Delaware County, Indiana",117669,117660,117364,117484,117074,116852,115603,115184,114772,114135,111903,111871,112031
209,"Elkhart County, Indiana",197646,198941,199619,200563,201971,203474,203781,205032,205560,206341,207047,206921,206890
210,"Floyd County, Indiana",74679,74989,75283,76244,76179,76778,76990,77071,77781,78522,80484,80454,80714
211,"Grant County, Indiana",69975,69793,69330,69126,68569,67979,66937,66491,65936,65769,66674,66263,66022
212,"Hamilton County, Indiana",276390,282810,289495,296693,302623,309697,316373,323747,330086,338011,347467,356650,364921
213,"Hancock County, Indiana",70250,70529,70933,71575,71978,72520,73717,74985,76351,78168,79840,81789,83070
214,"Hendricks County, Indiana",145867,147979,150434,153879,156056,158192,160610,163685,167009,170311,174788,179355,182534
215,"Howard County, Indiana",82770,82800,82849,82760,82982,82556,82568,82363,82366,82544,83658,83687,83574
216,"Johnson County, Indiana",140009,141656,143191,145535,147538,149633,151982,153897,156225,158167,161765,164298,165782
217,"Kosciusko County, Indiana",77368,77336,77609,77963,78564,78620,79092,79206,79344,79456,80240,80106,80826
218,"Lake County, Indiana",495981,495558,493618,491456,490228,487865,485846,485640,484411,485493,498700,498558,499689
219,"LaPorte County, Indiana",111465,111374,111246,111281,111444,110884,110015,110029,110007,109888,112417,112390,111675
220,"Madison County, Indiana",131642,131235,130348,130482,130069,129723,129296,129498,129641,129569,130129,130782,131744
221,"Marion County, Indiana",904878,911296,918977,928281,934243,939020,941229,950082,954670,964582,977203,971102,969466
222,"Monroe County, Indiana",138422,139799,141019,141888,143339,144705,145496,146986,146917,148431,139718,139875,139745
223,"Morgan County, Indiana",69061,69464,69356,69782,69693,69648,69698,69713,70116,70489,71780,72206,72236
224,"Porter County, Indiana",164592,165537,165682,166557,167076,167688,167791,168404,169594,170389,173215,174243,174791
225,"St. Joseph County, Indiana",266961,266700,266344,266709,267618,268441,269141,270434,270771,271826,272912,272212,272234
226,"Tippecanoe County, Indiana",172963,174724,177513,180174,183074,185826,188059,190587,193048,195732,186251,187076,188717
227,"Vanderburgh County, Indiana",179833,180305,180858,181398,182006,181877,181721,181616,180974,181451,180136,179987,179744
228,"Vigo County, Indiana",107958,108182,108428,108291,108175,107896,107931,107516,107386,107038,106153,105994,106006
229,"Wayne County, Indiana",68853,68643,68346,67893,67671,67001,66568,66185,65936,65884,66553,66456,66273
230,"Black Hawk County, Iowa",131221,131549,131820,132546,132897,133455,132904,132648,132408,131228,131144,130368,130274
231,"Dallas County, Iowa",66616,69444,71967,74641,77400,80133,84516,87235,90180,93453,99678,103796,108016
232,"Dubuque County, Iowa",93880,94648,95097,95697,96370,97125,97003,97041,96854,97311,99266,98718,98677
233,"Johnson County, Iowa",131225,133038,136317,139155,142287,144251,146547,149210,151260,151140,152854,154748,156420
234,"Linn County, Iowa",211501,213875,215295,216111,217751,219916,221661,224115,225909,226706,230299,228939,229033
235,"Polk County, Iowa",432260,437399,443710,451677,459862,467711,474045,481830,487204,490161,492401,496844,501089
236,"Pottawattamie County, Iowa",93359,93518,92913,92728,93128,93671,93582,93386,93533,93206,93667,93304,93173
237,"Scott County, Iowa",165841,167095,168799,170385,171387,172126,172474,172509,173283,172943,174669,174170,173924
238,"Story County, Iowa",89575,89663,91140,92406,94073,96021,97090,97502,98105,97117,98537,99472,99673
239,"Woodbury County, Iowa",102407,102509,102323,102130,102271,102782,102779,102429,102539,103107,105941,105607,105671
240,"Butler County, Kansas",65923,65817,65827,65803,66227,66741,67025,66878,66765,66911,67380,67889,68240
241,"Douglas County, Kansas",111130,112211,112864,114322,116585,118053,119440,120793,121436,122259,118785,119363,119964
242,"Johnson County, Kansas",545876,552991,559913,566933,574272,580159,584451,591178,597555,602401,609863,613219,619195
243,"Leavenworth County, Kansas",73749,75527,77739,78185,78797,79315,80204,81095,81352,81758,81881,82184,82892
244,"Riley County, Kansas",71481,72997,75508,75394,75194,75247,73343,74172,73703,74232,71959,72208,71108
245,"Sedgwick County, Kansas",499393,501076,503889,505415,508803,511574,511995,513687,513607,516042,523824,523828,525525
246,"Shawnee County, Kansas",178301,178941,178991,178831,178406,178725,178146,178187,177499,176875,178909,178264,177480
247,"Wyandotte County, Kansas",157845,158224,159129,160384,161636,163369,163831,165288,165324,165429,169245,167046,165746
248,"Boone County, Kentucky",119290,121737,123316,124442,126413,127712,128536,130728,131533,133581,135968,137412,139093
249,"Bullitt County, Kentucky",74473,75109,75896,76854,77955,78702,79151,80246,81069,81676,82217,82918,83836
