,GeoName,Income,Year,GeoFips
385,"La Plata, CO",42040,2010,08067
386,"Charleston, SC",42039,2010,45019
387,"Pinellas, FL",42003,2010,12103
388,"Cobb, GA",41992,2010,13067
389,"Mineral, CO",41960,2010,08079
390,"Blanco, TX",41955,2010,48031
391,"Montour, PA",41927,2010,42093
392,"Jefferson, NY",41922,2010,36045
393,"Thomas, NE",41916,2010,31171
394,"Schenectady, NY",41914,2010,36093
395,"Geary, KS",41886,2010,20061
396,"Alpine, CA",41867,2010,06003
397,"Madison, AL",41856,2010,01089
398,"Pennington, SD",41855,2010,46103
399,"McMullen, TX",41849,2010,48311
400,"Linn, IA",41820,2010,19113
401,"Hoonah-Angoon Census Area, AK*",41807,2010,02105
402,"Marion, IN",41769,2010,18097
403,"Lake and Peninsula Borough, AK*",41765,2010,02164
404,"Spotsylvania + Fredericksburg, VA*",41759,2010,51951
405,"Clark, KS",41740,2010,20025
406,"Pipestone, MN",41739,2010,27117
407,"Atchison, MO",41726,2010,29005
408,"Plymouth, IA",41695,2010,19149
409,"Haines Borough, AK*",41693,2010,02100
410,"Walsh, ND",41679,2010,38099
411,"Beaufort, SC",41649,2010,45013
412,"Roanoke + Salem, VA*",41647,2010,51944
413,"Leelanau, MI",41630,2010,26089
414,"Peoria, IL",41618,2010,17143
415,"Gosper, NE",41548,2010,31073
416,"Lafourche, LA",41540,2010,22057
417,"Galveston, TX",41510,2010,48167
418,"Brown, SD",41496,2010,46013
419,"Monroe, NY",41464,2010,36055
420,"Warrick, IN",41431,2010,18173
421,"Park, WY",41428,2010,56029
422,"Camden, NJ",41410,2010,34007
423,"Converse, WY",41409,2010,56009
424,"Caddo, LA",41406,2010,22017
425,"Mitchell, KS",41405,2010,20123
426,"Dare, NC",41361,2010,37055
427,"Redwood, MN",41357,2010,27127
428,"Washington, OR",41356,2010,41067
429,"Pulaski, AR",41349,2010,05119
430,"Ramsey, MN",41335,2010,27123
431,"Yukon-Koyukuk Census Area, AK*",41277,2010,02290
432,"Okaloosa, FL",41204,2010,12091
433,"Dallas, TX",41142,2010,48113
434,"Traverse, MN",41137,2010,27155
435,"Broward, FL",41067,2010,12011
436,"Sac, IA",41043,2010,19161
437,"Berkshire, MA",41040,2010,25003
438,"Polk, NE",41038,2010,31143
439,"Lamoille, VT",41031,2010,50015
440,"Hamilton, TX",41030,2010,48193
441,"Kossuth, IA",41007,2010,19109
442,"Monterey, CA",41004,2010,06053
443,"Northampton, PA",40981,2010,42095
444,"Hamilton, NY",40968,2010,36041
445,"Humboldt, NV",40946,2010,32013
446,"Medina, OH",40937,2010,39103
447,"Jackson, MN",40920,2010,27063
448,"Stutsman, ND",40897,2010,38093
449,"Warren, NY",40881,2010,36113
450,"Grant, SD",40856,2010,46051
451,"Franklin, MA",40850,2010,25011
452,"St. Charles, LA",40840,2010,22089
453,"Kenton, KY",40822,2010,21117
454,"Cottle, TX",40798,2010,48101
455,"Randall, TX",40790,2010,48381
456,"Ascension, LA",40758,2010,22005
457,"Parker, TX",40754,2010,48367
458,"Trego, KS",40741,2010,20195
459,"Benton, WA",40735,2010,53005
460,"Fayette, TN",40729,2010,47047
461,"Sedgwick, CO",40713,2010,08115
462,"Furnas, NE",40686,2010,31065
463,"Tarrant, TX",40683,2010,48439
464,"Mineral, NV",40683,2010,32021
465,"Southeast Fairbanks Census Area, AK*",40668,2010,02240
466,"Rutland, VT",40662,2010,50021
467,"York, PA",40662,2010,42133
468,"Prince George's, MD",40662,2010,24033
469,"St. Charles, MO",40647,2010,29183
470,"Kittson, MN",40645,2010,27069
471,"Renville, MN",40643,2010,27129
472,"Columbia, GA",40613,2010,13073
473,"Island, WA",40595,2010,53029
474,"Woodford, IL",40567,2010,17203
475,"Bristol, MA",40566,2010,25005
476,"Aleutians West Census Area, AK*",40565,2010,02016
477,"Carroll, IA",40558,2010,19027
478,"Thayer, NE",40543,2010,31169
479,"Clay, KS",40543,2010,20027
480,"Philadelphia, PA",40529,2010,42101
481,"Mono, CA",40528,2010,06051
482,"Thurston, WA",40518,2010,53067
483,"Sarpy, NE",40494,2010,31153
484,"Emmet, MI",40493,2010,26047
485,"Antelope, NE",40479,2010,31003
486,"Richland, ND",40470,2010,38077
487,"Perkins, NE",40459,2010,31135
488,"Cheyenne, NE",40448,2010,31033
489,"Salem, NJ",40447,2010,34033
490,"Cheshire, NH",40439,2010,33005
491,"Yoakum, TX",40437,2010,48501
492,"Johnson, IA",40435,2010,19103
493,"Armstrong, TX",40432,2010,48011
494,"Nome Census Area, AK",40418,2010,02180
495,"York, NE",40402,2010,31185
496,"Bennington, VT",40400,2010,50003
497,"Livingston, MI",40388,2010,26093
498,"Matanuska-Susitna Borough, AK",40386,2010,02170
499,"York, ME",40375,2010,23031
500,"Ida, IA",40367,2010,19093
501,"Stevens, MN",40344,2010,27149
502,"O'Brien, IA",40335,2010,19141
503,"Benton, IA",40329,2010,19011
504,"Hamilton, NE",40313,2010,31081
505,"Gloucester, VA",40298,2010,51073
506,"Colusa, CA",40294,2010,06011
507,"Brown, WI",40289,2010,55009
508,"McPherson, KS",40288,2010,20113
509,"East Baton Rouge, LA",40281,2010,22033
510,"Decatur, KS",40279,2010,20039
511,"McLean, IL",40268,2010,17113
512,"Dubois, IN",40265,2010,18037
513,"Cook, MN",40263,2010,27031
514,"Elko, NV",40258,2010,32007
515,"Hamilton, TN",40242,2010,47065
516,"Ocean, NJ",40238,2010,34029
517,"Morris, TX",40232,2010,48343
518,"Orange, NY",40208,2010,36071
519,"Will, IL",40185,2010,17197
520,"Windham, VT",40172,2010,50025
521,"Moore, NC",40170,2010,37125
522,"Lincoln, ME",40168,2010,23015
523,"Ohio, WV",40150,2010,54069
524,"Onondaga, NY",40140,2010,36067
525,"Austin, TX",40124,2010,48015
526,"Yankton, SD",40103,2010,46135
527,"McCook, SD",40101,2010,46087
528,"Martin, MN",40094,2010,27091
529,"Carteret, NC",40089,2010,37031
530,"Lewis and Clark, MT",40083,2010,30049
531,"Cuyahoga, OH",40082,2010,39035
532,"Chambers, TX",40079,2010,48071
533,"San Luis Obispo, CA",40064,2010,06079
534,"Durham, NC",40010,2010,37063
535,"Dauphin, PA",39995,2010,42043
536,"Addison, VT",39982,2010,50001
537,"Yolo, CA",39970,2010,06113
538,"Hancock, ME",39938,2010,23009
539,"Clay, MO",39933,2010,29047
540,"Jefferson, WV",39924,2010,54037
541,"Beaver, OK",39913,2010,40007
542,"Sagadahoc, ME",39901,2010,23023
543,"Multnomah, OR",39888,2010,41051
544,"Ramsey, ND",39887,2010,38071
545,"St. James, LA",39886,2010,22093
546,"Snohomish, WA",39885,2010,53061
547,"Kanawha, WV",39847,2010,54039
548,"Passaic, NJ",39804,2010,34031
549,"Walton, FL",39804,2010,12131
550,"Hillsborough, FL",39791,2010,12057
551,"Cheyenne, KS",39788,2010,20023
552,"Golden Valley, ND",39786,2010,38033
553,"Sedgwick, KS",39772,2010,20173
554,"Chase, NE",39760,2010,31029
555,"Goodhue, MN",39746,2010,27049
556,"Kandiyohi, MN",39743,2010,27067
557,"Grant, KS",39736,2010,20067
558,"Kerr, TX",39697,2010,48265
559,"Bell, TX",39695,2010,48027
560,"Cooke, TX",39690,2010,48097
561,"Powhatan, VA",39668,2010,51145
562,"Westmoreland, PA",39664,2010,42129
563,"Ontario, NY",39664,2010,36069
564,"Archer, TX",39657,2010,48009
565,"Yellow Medicine, MN",39645,2010,27173
566,"Shelby, IA",39641,2010,19165
567,"Barton, KS",39637,2010,20009
568,"Moody, SD",39631,2010,46101
569,"Stevens, KS",39610,2010,20189
570,"Cedar, NE",39591,2010,31027
571,"Davison, SD",39550,2010,46035
572,"Harlan, NE",39548,2010,31083
573,"Hood, TX",39538,2010,48221
574,"Garfield, OK",39516,2010,40047
575,"Rio Blanco, CO",39511,2010,08103
576,"Hancock, KY",39511,2010,21091
577,"Lee, FL",39510,2010,12071
578,"Morton, KS",39492,2010,20129
579,"Lyon, IA",39484,2010,19119
580,"Pulaski, MO",39468,2010,29169
581,"Kane, IL",39467,2010,17089
582,"Carbon, WY",39454,2010,56007
583,"Yellowstone, MT",39448,2010,30111
584,"Botetourt, VA",39446,2010,51023
585,"St. Croix, WI",39439,2010,55109
586,"Fayette, KY",39438,2010,21067
587,"Forsyth, NC",39427,2010,37067
588,"Hardin, IA",39422,2010,19083
589,"Plumas, CA",39409,2010,06063
590,"Eddy, ND",39390,2010,38027
591,"Shelby, TN",39376,2010,47157
592,"Audubon, IA",39375,2010,19009
593,"Cedar, IA",39373,2010,19031
594,"Clay, IA",39341,2010,19041
595,"Pennington, MN",39336,2010,27113
596,"Ellis, KS",39309,2010,20051
597,"Iowa, IA",39299,2010,19095
598,"Fayette, TX",39292,2010,48149
599,"Morton, ND",39277,2010,38059
600,"Boone, IA",39253,2010,19015
601,"Cass, NE",39249,2010,31025
